Category,Variable,Description,Code,Decode,Derived Variable,Original Variable(s),Original Dataset(s),Derivation Notes,
NSD-ISS,Stage_Subpark,"Subthreshold Parkinsonism score - modified MDS-UPDRS-III OFF score excluding items 3.15a, 3.15b, 3.16a, 3.16b (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut)",-,-,Yes,"NP3SPCH, NP3FACXP, NP3RIGN, NP3RIGRU, NP3RIGLU, NP3RIGRL, NP3RIGLL, NP3FTAPR, NP3FTAPL, NP3HMOVR, NP3HMOVL, NP3PRSPR, NP3PRSPL, NP3TTAPR, NP3TTAPL, NP3LGAGR, NP3LGAGL, NP3RISNG, NP3GAIT, NP3FRZGT, NP3PSTBL, NP3POSTR, NP3BRADY,  NUPDRS3, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON",NUPDRS3,"Note:  Score is based on values taken when participant is either OFF PD medication or untreated for PD.

Sum (NP3SPCH, NP3FACXP, NP3RIGN, NP3RIGRU, NP3RIGLU, NP3RIGRL, NP3RIGLL, NP3FTAPR, NP3FTAPL, NP3HMOVR, NP3HMOVL, NP3PRSPR, NP3PRSPL, NP3TTAPR, NP3TTAPL, NP3LGAGR, NP3LGAGL, NP3RISNG, NP3GAIT, NP3FRZGT, NP3PSTBL, NP3POSTR, NP3BRADY, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON)",
NSD-ISS,Stage_PDTreat,Indicates PD treatment status at visit based on PD medication use and/or presence of DBS (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut),0,No,Yes,Multiple,Multiple,"See publication by Simuni, et al (doi:10.1016/S1474-4422(23)00405-2)",
,,,1,Yes,,,,,
NSD-ISS,Stage_S,Subject-level a-syn SAA status (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut),0,Negative,Yes,Multiple,Multiple,"See publication by Simuni, et al (doi:10.1016/S1474-4422(23)00405-2)",
,,,1,Positive,,,,,
,,,2,Inconclusive,,,,,
,,,3,MSA-like,,,,,
NSD-ISS,Stage_D,Visit-level DAT SBR status - indicates whether age/sex-expected DaT ratio is < 0.75 (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut),0,No,Yes,Multiple,Multiple,"See publication by Simuni, et al (doi:10.1016/S1474-4422(23)00405-2)",
,,,1,Yes,,,,,
NSD-ISS,Stage_G,Subject-level genetic status (applies to SAA-negative participants only) (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut),0,No genetic variant,Yes,Multiple,Multiple,"See publication by Simuni, et al (doi:10.1016/S1474-4422(23)00405-2)",
,,,1,Low risk genetic risk,,,,,
,,,2,High risk genetic risk,,,,,
,,,3,SNCA carrier,,,,,
